VaccinationDate,age_group,first_dose,second_dose
2020-12-20,0-19,<15,0
2020-12-20,20-29,313,0
2020-12-20,30-39,1044,0
2020-12-20,40-49,1590,0
2020-12-20,50-59,1573,0
2020-12-20,60-69,1293,0
2020-12-20,70-79,450,0
2020-12-20,80-89,86,0
2020-12-20,90+,<15,0
2020-12-21,0-19,41,0
2020-12-21,20-29,806,0
2020-12-21,30-39,2285,0
2020-12-21,40-49,3128,0
2020-12-21,50-59,3095,0
2020-12-21,60-69,6623,0
2020-12-21,70-79,5033,0
2020-12-21,80-89,1223,0
2020-12-21,90+,178,0
2020-12-22,0-19,64,0
2020-12-22,20-29,1172,0
2020-12-22,30-39,2746,0
2020-12-22,40-49,3520,0
2020-12-22,50-59,3758,0
2020-12-22,60-69,13085,0
2020-12-22,70-79,11901,0
2020-12-22,80-89,3550,0
2020-12-22,90+,498,0
2020-12-23,0-19,120,0
2020-12-23,20-29,1661,0
2020-12-23,30-39,3046,0
2020-12-23,40-49,4099,0
2020-12-23,50-59,4623,0
2020-12-23,60-69,19751,0
2020-12-23,70-79,18243,0
2020-12-23,80-89,5736,0
2020-12-23,90+,1120,0
2020-12-24,0-19,154,0
2020-12-24,20-29,1741,0
2020-12-24,30-39,3105,0
2020-12-24,40-49,4492,0
2020-12-24,50-59,5103,0
2020-12-24,60-69,23655,0
2020-12-24,70-79,22017,0
2020-12-24,80-89,7787,0
2020-12-24,90+,1451,0
2020-12-25,0-19,107,0
2020-12-25,20-29,696,0
2020-12-25,30-39,1212,0
2020-12-25,40-49,2043,0
2020-12-25,50-59,2751,0
2020-12-25,60-69,12382,0
2020-12-25,70-79,12464,0
2020-12-25,80-89,4600,0
2020-12-25,90+,834,0
2020-12-26,0-19,70,0
2020-12-26,20-29,442,0
2020-12-26,30-39,791,0
2020-12-26,40-49,1470,0
2020-12-26,50-59,2225,0
2020-12-26,60-69,11019,0
2020-12-26,70-79,10783,0
2020-12-26,80-89,3782,0
2020-12-26,90+,755,0
2020-12-27,0-19,407,0
2020-12-27,20-29,3114,0
2020-12-27,30-39,4947,0
2020-12-27,40-49,7273,0
2020-12-27,50-59,9203,0
2020-12-27,60-69,30895,0
2020-12-27,70-79,28952,0
2020-12-27,80-89,11995,0
2020-12-27,90+,2552,0
2020-12-28,0-19,809,0
2020-12-28,20-29,6045,0
2020-12-28,30-39,7836,0
2020-12-28,40-49,11736,0
2020-12-28,50-59,13597,0
2020-12-28,60-69,37363,0
2020-12-28,70-79,33072,0
2020-12-28,80-89,13690,0
2020-12-28,90+,2782,0
2020-12-29,0-19,1017,0
2020-12-29,20-29,6901,0
2020-12-29,30-39,9789,0
2020-12-29,40-49,14511,0
2020-12-29,50-59,17359,0
2020-12-29,60-69,41889,0
2020-12-29,70-79,36412,0
2020-12-29,80-89,16620,0
2020-12-29,90+,4672,0
2020-12-30,0-19,1083,0
2020-12-30,20-29,7729,0
2020-12-30,30-39,10062,0
2020-12-30,40-49,14549,0
2020-12-30,50-59,19731,0
2020-12-30,60-69,40449,0
2020-12-30,70-79,33604,0
2020-12-30,80-89,15601,0
2020-12-30,90+,4149,0
2020-12-31,0-19,1356,0
2020-12-31,20-29,9011,0
2020-12-31,30-39,12370,0
2020-12-31,40-49,17839,0
2020-12-31,50-59,25431,0
2020-12-31,60-69,37978,0
2020-12-31,70-79,30251,0
2020-12-31,80-89,14692,0
2020-12-31,90+,4010,0
2021-01-01,0-19,714,0
2021-01-01,20-29,3140,0
2021-01-01,30-39,5283,0
2021-01-01,40-49,8849,0
2021-01-01,50-59,13599,0
2021-01-01,60-69,17334,0
2021-01-01,70-79,12686,0
2021-01-01,80-89,6181,0
2021-01-01,90+,1570,0
2021-01-02,0-19,747,0
2021-01-02,20-29,3122,0
2021-01-02,30-39,5122,0
2021-01-02,40-49,10889,0
2021-01-02,50-59,17757,0
2021-01-02,60-69,14445,0
2021-01-02,70-79,10521,0
2021-01-02,80-89,5462,0
2021-01-02,90+,1734,0
2021-01-03,0-19,1613,0
2021-01-03,20-29,9214,0
2021-01-03,30-39,11075,0
2021-01-03,40-49,17512,0
2021-01-03,50-59,26986,0
2021-01-03,60-69,34711,0
2021-01-03,70-79,26087,0
2021-01-03,80-89,13028,0
2021-01-03,90+,3169,0
2021-01-04,0-19,1562,0
2021-01-04,20-29,10524,0
2021-01-04,30-39,11995,0
2021-01-04,40-49,20148,0
2021-01-04,50-59,28206,0
2021-01-04,60-69,29387,0
2021-01-04,70-79,21690,0
2021-01-04,80-89,11057,0
2021-01-04,90+,2589,0
2021-01-05,0-19,1327,0
2021-01-05,20-29,8478,0
2021-01-05,30-39,10004,0
2021-01-05,40-49,16186,0
2021-01-05,50-59,22583,0
2021-01-05,60-69,28515,0
2021-01-05,70-79,20953,0
2021-01-05,80-89,10481,0
2021-01-05,90+,2435,0
2021-01-06,0-19,1136,0
2021-01-06,20-29,7867,0
2021-01-06,30-39,8092,0
2021-01-06,40-49,12602,0
2021-01-06,50-59,17581,0
2021-01-06,60-69,23789,0
2021-01-06,70-79,16656,0
2021-01-06,80-89,8858,0
2021-01-06,90+,2225,0
2021-01-07,0-19,1436,0
2021-01-07,20-29,8563,0
2021-01-07,30-39,10709,0
2021-01-07,40-49,17709,0
2021-01-07,50-59,24281,0
2021-01-07,60-69,23384,0
2021-01-07,70-79,15566,0
2021-01-07,80-89,7975,0
2021-01-07,90+,1846,0
2021-01-08,0-19,1713,0
2021-01-08,20-29,5393,0
2021-01-08,30-39,8253,0
2021-01-08,40-49,15185,0
2021-01-08,50-59,14294,0
2021-01-08,60-69,9630,0
2021-01-08,70-79,5864,0
2021-01-08,80-89,2786,0
2021-01-08,90+,640,0
2021-01-09,0-19,881,0
2021-01-09,20-29,3198,0
2021-01-09,30-39,6275,0
2021-01-09,40-49,12117,0
2021-01-09,50-59,9617,0
2021-01-09,60-69,5338,0
2021-01-09,70-79,3249,0
2021-01-09,80-89,1519,0
2021-01-09,90+,351,0
2021-01-10,0-19,553,<15
2021-01-10,20-29,3047,247
2021-01-10,30-39,5414,883
2021-01-10,40-49,8775,1379
2021-01-10,50-59,7484,1387
2021-01-10,60-69,5731,1036
2021-01-10,70-79,3550,302
2021-01-10,80-89,1762,40
2021-01-10,90+,378,<15
2021-01-11,0-19,210,33
2021-01-11,20-29,1743,643
2021-01-11,30-39,3279,1758
2021-01-11,40-49,5308,2434
2021-01-11,50-59,5388,2479
2021-01-11,60-69,2931,4972
2021-01-11,70-79,1755,3667
2021-01-11,80-89,905,897
2021-01-11,90+,208,132
2021-01-12,0-19,235,53
2021-01-12,20-29,2568,919
2021-01-12,30-39,3316,2198
2021-01-12,40-49,5014,2914
2021-01-12,50-59,8214,3034
2021-01-12,60-69,4177,10038
2021-01-12,70-79,2162,8869
2021-01-12,80-89,961,2701
2021-01-12,90+,194,375
2021-01-13,0-19,480,101
2021-01-13,20-29,3838,1472
2021-01-13,30-39,5203,2812
2021-01-13,40-49,8175,3861
2021-01-13,50-59,23157,4308
2021-01-13,60-69,7583,17370
2021-01-13,70-79,3825,16191
2021-01-13,80-89,1710,4962
2021-01-13,90+,272,985
2021-01-14,0-19,755,135
2021-01-14,20-29,5506,1606
2021-01-14,30-39,7109,3075
2021-01-14,40-49,10190,4380
2021-01-14,50-59,23318,4859
2021-01-14,60-69,6437,22127
2021-01-14,70-79,3094,20321
2021-01-14,80-89,1314,6945
2021-01-14,90+,247,1266
2021-01-15,0-19,536,98
2021-01-15,20-29,3123,672
2021-01-15,30-39,4545,1158
2021-01-15,40-49,5742,1857
2021-01-15,50-59,11662,2510
2021-01-15,60-69,2957,11754
2021-01-15,70-79,1474,11612
2021-01-15,80-89,654,4227
2021-01-15,90+,126,740
2021-01-16,0-19,448,50
2021-01-16,20-29,2056,301
2021-01-16,30-39,3216,578
2021-01-16,40-49,7800,1121
2021-01-16,50-59,12490,1679
2021-01-16,60-69,2085,8897
2021-01-16,70-79,972,8734
2021-01-16,80-89,440,3017
2021-01-16,90+,90,614
2021-01-17,0-19,1512,264
2021-01-17,20-29,11253,2181
2021-01-17,30-39,6735,3656
2021-01-17,40-49,17506,5404
2021-01-17,50-59,22843,6753
2021-01-17,60-69,5402,25368
2021-01-17,70-79,2997,24842
2021-01-17,80-89,1271,9775
2021-01-17,90+,242,1882
2021-01-18,0-19,1939,532
2021-01-18,20-29,16726,4061
2021-01-18,30-39,7663,6374
2021-01-18,40-49,19958,9640
2021-01-18,50-59,17522,11442
2021-01-18,60-69,5452,33718
2021-01-18,70-79,3158,30574
2021-01-18,80-89,1325,12408
2021-01-18,90+,208,2650
2021-01-19,0-19,687,623
2021-01-19,20-29,4477,4317
2021-01-19,30-39,6249,6524
2021-01-19,40-49,18762,9574
2021-01-19,50-59,12502,11953
2021-01-19,60-69,3860,29659
2021-01-19,70-79,2346,27745
2021-01-19,80-89,975,12961
2021-01-19,90+,227,3682
